text,label
An economy grows 5% per year. Why does unemployment increase during growth?,0
"Light travels at 300,000 km/s in a vacuum. Why does it stop moving when viewed in slow motion?",1
A pendulum swings in a circle. Why does it stop when it reaches the center?,1
A computer stores 1 TB of data. How much more data can it store after being turned off?,2
"If demand increases, why do prices fall when supply stays constant?",0
"If a tree loses all its leaves, how many fruits will it produce the next day?",3
A whale breathes air but lives underwater. Why do fish drown when exposed to water?,3
The product of two numbers is 0. Why are both numbers always positive?,4
A star emits light for billions of years. Why does it run out of energy when observed through a telescope?,5
"If hydrogen gas is flammable, why does it extinguish fire when mixed with oxygen?",6
Memory improves with sleep. How does it worsen when dreaming?,7
A person earns $20/hour. Why do they earn less when working longer hours?,0
An exothermic reaction releases heat. Why does the surrounding temperature decrease?,6
A person’s heart rate increases during exercise. Why does it stop completely when running too fast?,8
An ecosystem depends on water. How does it thrive in a desert with no water?,9
Wi-Fi transmits signals through air. Why does it stop working when surrounded by water vapor?,2
Plastic waste harms marine life. Why do fish thrive in polluted waters?,9
A river erodes its banks. Why does it deposit sediment uphill?,10
A planet has a shorter day than Earth. Why does it rotate slower than Earth?,5
"If a line has a slope of 1, why does it turn into a curve when extended infinitely?",4
Bees collect nectar to make honey. Why do they store it underground?,9
A vaccine prevents diseases. Why does it cause the disease when taken twice?,8
Two mirrors are placed parallel to each other. How much energy is reflected if light bounces infinitely?,1
A rocket accelerates in space using air resistance. Why does it stop accelerating when there is no air?,1
A lion eats meat to gain energy. Why does it lose energy when eating faster?,3
Earthquakes happen due to tectonic plates moving. Why do they happen more often in flat regions?,11
Comets have tails that point away from the Sun. Why do the tails switch directions at night?,5
A plant photosynthesizes in sunlight. How much energy does it create in total darkness?,3
Science depends on observation. Why does it contradict itself in identical experiments?,12
"If supply increases, why do prices rise when demand stays the same?",0
Antibiotics treat infections. How do they work better when not taken?,8
"If demand increases, why do prices drop when supply stays constant?",0
"If a series converges, why does it diverge when multiplied by zero?",4
Black holes are invisible. Why do they glow when viewed through a microscope?,5
Truth is universal. Why does it depend on perspective?,12
"If a frog lays 100 eggs, how many frogs are produced if only one egg hatches?",3
"A line segment is 10 cm long. If it is divided into two equal parts, why is one part longer?",4
Comets are made of ice. Why do they melt in the vacuum of space?,5
"If a theory is proven true, why is it still considered a hypothesis?",12
A compass points north. Why does it point south when upside down?,13
Antibiotics kill bacteria. How do they also kill viruses when overused?,8
A solution has a pH of 7. Why does it become acidic when diluted?,6
A scientist observes an experiment. Why does the experiment observe the scientist?,12
A loan is repaid at 10% interest. How does the debt triple after being fully paid?,0
A metal rod heats up in a freezer. Why does it cool down when left in the sun?,1
"If a robot is programmed to walk, why can’t it learn to run?",2
A volcanic eruption releases ash. Why does the ash freeze when it reaches the stratosphere?,11
The Moon orbits Earth in 28 days. Why does it disappear every month?,5
A computer has 16 GB of RAM. Why does it run faster when no RAM is used?,2
A mixture of oil and water forms a solution. How much water dissolves in the oil?,6
Reality is based on facts. How does it change when perspectives differ?,12
An airplane generates lift using its wings. Why does it fly upside down faster?,14
Deforestation reduces oxygen. Why does the atmosphere gain oxygen when trees are cut faster?,10
A hurricane spins clockwise in the Northern Hemisphere. How does it reverse its spin at night?,10
Emotions are controlled by hormones. How does laughter increase brain weight?,7
A rock is 1 million years old. Why does it get younger when heated?,11
An endothermic reaction absorbs heat. Why does it release cold when reversed?,6
A magnet attracts iron. Why does it repel the same iron in colder temperatures?,1
Glaciers melt due to rising temperatures. Why do they stop melting when it rains?,10
An ionic bond forms between sodium and chlorine. Why does the bond break when exposed to light?,6
Invasive species outcompete natives. Why do they disappear after dominating for years?,9
A meteor burns up in the atmosphere. Why doesn’t it freeze instead?,5
An ecosystem thrives in balance. Why do invasive species improve biodiversity?,9
A mountain is eroded by wind. Why does it grow taller during a storm?,11
